Brief Description,Primary Cause,Hazardous Element,Initiating Mechanism,IM2,Pivotal Element 1,Pivotal Element 2,Pivotal Element 3,Activity Type,Potential Accident/Incidence,Potential Target,Potential Threat
"while cmg with my two wheeler one person crossing road without upcmg vehicle,just missed.",Run Over,,,,,,,Main Road,Run Over,person,injury
"while entering one two wheeler came from wrong side,just miss.",Neglegent Driving,,,,,,,Main Road,collision/ hit,person/property,Injury/ property damage
"while entering to gate one two wheeler came suddenly with high speed,just missed.",Neglegent Driving,,,,,,,Main Road,collision/ hit,person/property,Injury/ property damage
He was going to department after lunch on his Bike bearing registration no. . when he crossed RMBB#2 and reached near turning towards sinter plant-3 a car coming from branch road  dashed his bike and he fell down on the road(Carâ??s reg no not noted by  party) .During this incidence he sustained injury in both his leg.He was brought to WPFA by Mr.S.Singh.Injury Details :- Abrasion over both legs knee,,,,,,,,Other Roads,Run Over,person,injury
"while coming to the office , there might have been accident due to the road spillage ",Poor Road Condition,,,,,,,Other Roads,slip/trip/topple,"property, person","Property Damage, injury"
"Mr. Tanmoy Saha,pn:-156661 Dept:-EQMS was driving Tata XENON no:-YYYY from EQMS office(near security control room) and going to wards PH#3.When , he reached near DUPM Pump House ,a dumper over take from his right side and at the same time Mr.saha unbalanced and the Tata Xenon came out from the left side road and hited the a road ligh pole.Damages front side of the Tata Xenon.No any injury was recorded.",Vehicle Dashing,,,,,,,Main Road,,,
"On Nov 29th 2016, I was coming to office (R&amp;D) via Bistupur main gate by scooty; this incident occurred at right turning point opposite to GBF. I was going straight when suddenly a four wheeler blinkering to go towards right ran over my feet. Due to uniform speed of both vehicles, the blinker was not visible to me and I was saved due to my safety shoes",Run Over,,,,,,,Main Road,,,
"Today morning I saw a group of 5, 6 people using the zebra to cross the road. While there were in the middle a car (JH05BL 0203) coming from Exchange gate nearly hit them. Instead of stopping &amp; giving way to pedestrians on the Zebra crossing he continued to drive &amp; swerve to the right so as to go first. On being advised by the people there to drive carefully, he further started arguing. So much for safety training &amp; awareness to employees to drive carefully. It is clear this person does not know the basics of safe driving &amp; right of way for pedestrians crossing the road using a zebra crossing. I hope the person is identified suitable training &amp; action taken so that such dangerous incidents do not recur.",Neglegent Driving,,,,,,,Main Road,,,
"while going towards H BF at the hsm coil yard corner the bike got uncontrolled , it may have led to falling",Slippary Pathway,,,,,,,Other Roads,,,
"Four wheelers entering the works from L-Town gate and intending to go towards NBM (via the LD-1 signal), have to turn left after entering the works from L-Town gate. There is a tendancy for collision with two wheelers entering the works from their designated gate on the left of the 4-wheeler entry. The two wheelers may turn left (As the 4-wheelers) or go straight towards A-F blast furnaces. Those intending to go straight pose the danger of collision with the vehicles turning left. Such a situation occurred with me and fortunately, I saved mysel from a collision.",Vehicle Dashing,,,,,,,Main Road,hit/collision,"person, property","Injury, property damage"
"At about 7:50 to 7:55 AM, when the traffic signal changed to greed for the Road from GBF side to CRM Side, all vehicle started moving from GBF side. Some are going to HSM &amp; LD#2 side, some are straight t CRM, LD#3, Burma Mines Gate side and some are towards LD#1 side. There are vehicles waiting in two rows, while one 4-wheeler vehicle going to straight towards CRM/LD#3 side, one of the 2-wheeler moving from its right side towards left side HSM/LD#2 side in front of the 4-wheeler. As the 4-wheeler was very slow at that moment, it somehow able to manage the pass the 2-wheeler. There was a chance that it collide with the 2-wheeler as that came in front of the vehicle from right side towards left all of a sudden.All vehicle, irrespective of 2-wheeler or 4-wheeler should wait in the signal in such a way that left side moving vehicle remains on the left lane and straight or right side moving vehicle remains on the right lane. There should be properly marked Lane for these purpose.",Neglegent Driving,,,,,,,Main Road,hit/collision,"person, property","Injury, property damage"
"Drain cover or checker plate got projected and uneven from surface , due to which when people come to IEM field office and canteen most of the   dashed with drain cover and chance of unsafe occurance.",Poor Road Condition,,,,,,,Other Roads,,,
"After finish my duty while I am going home by machine shop road around 5:10 PM, suddenly ventilator glass fallen in front of me i.e. one to two steps front of my foot. As because I wear safety helmet, florescent jacket &amp; safety shoes with full PPEs thatâ??s why I not get any injury.",Poor Road Condition,,,,,,,Other Roads,,,
While taking turn at the signal hand slip over the steering wheel beacause steering wheel grip become smooth.,Poor Vehicle condition,,,,,,,Main Road,slip,"person, property","Property Damage, injury"
Smoke &amp; Fire was observed in a power cable of AC which was very old . As a quick action the cable was isolated from it&#39;s source to prevent the propagation of fire causing  any further damage to the to the nearby cables and other properties.  ,,,,,,,,Other Roads,,,
"There is an office building under construction near to the pellet plant main office ( Just back side of Pellet Plant Designated Car parking area). there was an excavation and loading work was going with a JCB and a Dumper adjacent to the road. There supposed to be two flag man ( as per working supervisor), one near to dumper and another near to the front of JCB. but there was only one flag man and he was not in position. The man designated for flagman went to natural call and the driver of dumper was acting as a flagman and was not in proper position. work has been stopped immediately and advised the supervisor to deploy two flagman or to barricade. the dumper was using only one stopper was not as per standard of Tata steel ",Vehicle Dashing,,,,,,,Other Roads,,"property, person","Injury, property damage"
"Tanker no D Reagent Pvt. Limited was waiting at the signal and had to go to LD#3 Hot Metal DS for unloading Magnesium. In the meantime, Honda City car  being driven by Mr. Prabal Patra which had to go towards G Blast Furnace side came and stood in the left side of the tanker.When the signal turned green, both the vehicle started moving parallely.The tanker had to turn left but the car had to go straight. This resulted in the dashing between the vehicles",Vehicle Dashing,,,,,,,Main Road,,,
"Mr. Shomick Roy, P.No :157732 of FPTG was coming from TSCR &amp; had to go R&amp;D for analysis of material on his motor cycle # JH05AQ2149. When reached near TSCR coil yard suddenly his bike got skidded &amp; he fell down on road &amp; sustain injury.",Neglegent Driving,,,,,,,Main Road,,,
"Name- S.I.HassanP.NO-122898DEPT.-Finance&amp; AccountsDesign- Asst.accountantVehicle no- YYYY Toi- 8.55 a.m.Place- Dropping point near Commercial building.Brief- He was coming from home to join duty. Near garage A opposite road ,at the dropping point area, he was on the way driving his bike. The lady Mrs  Lekhika bhasker  P.NO-158590 was coming out of the car no YYYY of her husband Mr.Nikhil Mahesweri P.NO-161692 from the left front door. The door dashed to his bike. He fell down on road.&amp; sustained injury.Injury- Contusion &amp; Swelling left elbow. After X-RAY it was  found dislocation of left elbow. Admitted in 4A",Neglegent Driving,,,,,,,Main Road,,,
"Mr. Tarkeshwar Lal Sahu, G.P No : TSP/621684/1216 of Shaurya Inn  was driving Tata Magic . After dropping pantry trolley at M/c Shop, he was going RMM office to pick-up another trolley people. On the way near Spare manufacturing assembly area he trying to adjust his seat to get comfortable for driving in running condition of vehicle. In this process seat move more towards steering side &amp; he lose his control on vehicle, &amp; dashed to right side wall beside the road . Vehicle front portion dashed with wall of the shed due to this front portion of Tata Magic got damaged. No injury reported.",Vehicle Dashing,,,,,,,Main Road,,,
"When I was on the way to main road just outside of the main gate of ETC, a car with overspeed, passed very close to my bike withour any indication, anyhow I have managed myself and avoid chances of accident.",High Speed,,,,,,,Main Road,collision/hit,"people, property","Injury, property damage"
"Mr. Sanjeev was coming from crane training centre to EPFA  to remove foreign particle pintch in right palm. When he reached near M.Mill office his bike YYYY got skidded on track line &amp; he fell down on road &amp; sustain injury. After that he reported to EPFA. EPFA Injury details : Left Ankle sprain, slight swelling. Advice to attend TMH for X-Ray.",Neglegent Driving,,,,,,,Main Road,,,
"Mrs. Sneha ,PNo:-157590,Sr.Manager ,HRM,Sinter Plant was in â??Dâ?? shift duty and was going from Diamond crossing through road beside PH#5 in her car YYYY.Mr.Sunaram Tudu,GP. No.:TSP/301963/0316, of Leading Construction,V.Code:L067,was driving T.Mixer YYYY and was coming from Burmanines Batching Plant and was going to Coke Plant.When they reached near coal injection before Traffic signal, both stopped as the  signal  was red. The car was in left line and a Mixerar was in right side of car.When the signal became green ,both the vehicles started moving. During this, the T.Mixer dashed the car. In the process, the right side of the  car got badly damaged.No any Injury.",Vehicle Dashing,,,,,,,Main Road,,,
